                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.1231,                 0.6757,                0.80641,                0.71441,                0.57243,                0.68919,                 0.5409,                 0.9873,                0.69377,                0.79882,               0.005545,               0.005545,               0.005545
                     92,                 1.1822,                0.68704,                0.80771,                0.67007,                0.61687,                0.67535,                 0.5343,                0.97529,                0.68881,                0.79871,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1695,                0.66867,                0.80525,                0.67718,                0.59122,                0.68278,                0.54009,                 0.9874,                0.70299,                 0.7981,               0.005446,               0.005446,               0.005446
                     94,                  1.192,                0.66054,                0.81272,                0.64413,                 0.6126,                0.68923,                0.54201,                0.97839,                0.70759,                0.79867,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1044,                0.64754,                0.80347,                  0.716,                0.57595,                0.69158,                0.53895,                0.98256,                0.69179,                0.79819,               0.005347,               0.005347,               0.005347
                     96,                 1.1346,                0.63957,                0.80539,                0.64199,                0.63986,                 0.6978,                0.54889,                 0.9983,                0.68891,                0.79902,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1136,                0.63945,                0.80506,                0.69683,                0.62758,                0.68481,                0.53928,                0.99183,                0.68581,                0.79809,               0.005248,               0.005248,               0.005248
                     98,                 1.1066,                0.63183,                0.80797,                0.67323,                0.64327,                0.68688,                0.54923,                0.99003,                0.68263,                0.79817,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.1033,                0.63115,                0.80529,                0.70085,                0.62114,                0.69994,                0.55407,                  1.001,                0.67926,                 0.7981,               0.005149,               0.005149,               0.005149
                    100,                 1.1316,                0.62232,                0.80505,                 0.7371,                0.57691,                0.67712,                0.53085,                 1.0072,                 0.6891,                0.79752,              0.0050995,              0.0050995,              0.0050995
                    101,                  1.105,                0.63206,                0.80623,                  0.718,                0.57622,                0.66943,                0.52696,                 0.9887,                 0.6741,                  0.796,                0.00505,                0.00505,                0.00505
                    102,                 1.1109,                0.59654,                0.80893,                0.65391,                0.62858,                0.68906,                 0.5436,                  0.991,                0.66584,                0.79598,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.1743,                 0.6232,                0.81162,                0.70708,                0.62899,                0.69408,                0.54857,                 1.0131,                0.66791,                0.79653,               0.004951,               0.004951,               0.004951
                    104,                 1.1265,                0.62518,                0.80833,                0.72265,                 0.6074,                0.70583,                0.55827,                 1.0253,                0.67063,                0.79738,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1424,                0.61857,                0.80768,                0.68502,                 0.6215,                 0.6915,                0.55219,                 1.0088,                0.66818,                 0.7968,               0.004852,               0.004852,               0.004852
                    106,                 1.1182,                0.61285,                0.80702,                0.75441,                0.56513,                0.68893,                0.54499,                 1.0154,                0.67251,                0.79716,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1087,                0.58873,                0.79976,                0.74989,                0.59343,                0.69283,                0.54932,                 1.0289,                0.67034,                0.79691,               0.004753,               0.004753,               0.004753
                    108,                 1.1385,                0.58988,                0.80627,                0.75476,                0.59646,                0.70026,                0.55268,                 1.0302,                0.65452,                0.79786,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1986,                0.62868,                0.80941,                0.72816,                0.62134,                0.69882,                0.55371,                 1.0231,                0.65057,                0.79718,               0.004654,               0.004654,               0.004654
                    110,                 1.1338,                0.60616,                 0.8015,                0.69773,                0.63551,                0.70109,                0.55631,                  1.021,                0.65113,                0.79606,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1113,                0.58595,                0.80417,                0.71241,                0.59659,                0.69879,                 0.5529,                 1.0149,                 0.6595,                0.79594,               0.004555,               0.004555,               0.004555
                    112,                 1.1318,                 0.5923,                0.80235,                 0.6582,                0.63132,                0.71123,                0.56522,                 1.0228,                0.66059,                0.79602,              0.0045055,              0.0045055,              0.0045055
