                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 1.1612,                0.54504,                0.79774,                0.69557,                0.62257,                0.70863,                 0.5688,                 1.0704,                0.64161,                0.79393,               0.003169,               0.003169,               0.003169
                    140,                 1.0849,                0.51932,                 0.7981,                0.71545,                0.61963,                0.70741,                0.56602,                 1.0712,                0.64143,                0.79394,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0814,                0.50708,                0.79752,                0.71356,                0.62056,                0.70142,                 0.5627,                 1.0717,                0.64105,                0.79367,                0.00307,                0.00307,                0.00307
                    142,                 1.0859,                0.51767,                0.79643,                0.72718,                0.62081,                0.70299,                0.56314,                 1.0732,                0.64274,                0.79359,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0803,                0.50054,                0.79677,                0.73002,                0.60788,                0.70073,                 0.5623,                 1.0768,                 0.6423,                0.79364,               0.002971,               0.002971,               0.002971
                    144,                 1.0582,                0.50961,                0.79672,                 0.6184,                0.65631,                0.70595,                0.56765,                 1.0747,                0.64181,                0.79361,              0.0029215,              0.0029215,              0.0029215
                    145,                  1.169,                0.51355,                0.79586,                0.62274,                0.65775,                0.70799,                0.56827,                 1.0758,                0.63941,                 0.7934,               0.002872,               0.002872,               0.002872
                    146,                  1.079,                0.51347,                0.79661,                0.63079,                0.65248,                0.70865,                 0.5678,                 1.0741,                0.63751,                0.79336,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0277,                0.49852,                0.79138,                0.61387,                0.67416,                0.70953,                0.56807,                 1.0757,                0.63777,                0.79328,               0.002773,               0.002773,               0.002773
                    148,                 1.0154,                0.49115,                0.79802,                 0.6853,                0.64187,                0.70931,                 0.5682,                 1.0776,                0.63657,                0.79328,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0352,                0.51025,                0.79476,                0.68577,                0.63928,                 0.7095,                0.56904,                 1.0776,                 0.6351,                0.79338,               0.002674,               0.002674,               0.002674
                    150,                 1.1056,                0.51516,                0.79968,                0.67675,                0.64464,                 0.7095,                0.56678,                 1.0797,                 0.6343,                0.79322,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0593,                0.49154,                0.79971,                0.66994,                0.65563,                0.71516,                0.57274,                 1.0803,                0.63309,                0.79334,               0.002575,               0.002575,               0.002575
